,,,,,,,,,,,,,,,,,,,,,
Row_Label,Q1,Confid-1,ECR-1,CECR-1,Q2,Confid-2,ECR-2,CECR-2,Q3,Confid-3,ECR-3,CECR-3,,Brier-Q1,Brier-ECR1,Brier-Q2,Brier-ECR2,Brier-Q3,Brier-ECR3,Row Brier,Row ACC
Vis-4H GPT,0,74%,1,96%,1,82%,1,99%,1,81%,1,93%,Vis-4H GPT,0.5476,0.0016,0.0324,0.0001,0.0361,0.0049,0.103783,0.8333333333
Dat-4H GPT,1,100%,1,100%,1,91%,1,100%,1,87%,1,91%,Dat-4H GPT,0,0,0.0081,0,0.0169,0.0081,0.005517,1
Par-4H GPT,1,100%,1,100%,1,93%,1,100%,1,88%,1,93%,Par-4H GPT,0,0,0.0049,0,0.0144,0.0049,0.004033,1
Vis-4H Gemini,0,100%,1,100%,1,95%,1,100%,1,95%,1,100%,Vis-4H Gemini,1,0,0.0025,0,0.0025,0,0.167500,0.8333333333
Dat-4H Gemini,1,100%,1,100%,1,85%,1,100%,1,95%,1,100%,Dat-4H Gemini,0,0,0.0225,0,0.0025,0,0.004167,1
Par-4H Gemini,1,100%,1,100%,1,95%,1,100%,1,95%,1,100%,Par-4H Gemini,0,0,0.0025,0,0.0025,0,0.000833,1
Vis-4I Claude,0,35%,1,60%,1,72%,1,97%,1,82%,1,95%,Vis-4I Claude,0.1225,0.16,0.0784,0.0009,0.0324,0.0025,0.066117,0.8333333333
Dat-4I Claude,1,99%,1,99%,1,82%,1,97%,1,52%,1,95%,Dat-4I Claude,0.0001,0.0001,0.0324,0.0009,0.2304,0.0025,0.044400,1
Par-4I Claude,1,97%,1,99%,1,82%,1,95%,1,52%,1,97%,Par-4I Claude,0.0009,0.0001,0.0324,0.0025,0.2304,0.0009,0.044533,1
Vis-4I GPT,0,88%,1,92%,1,88%,1,95%,1,86%,1,97%,Vis-4I GPT,0.7744,0.0064,0.0144,0.0025,0.0196,0.0009,0.136367,0.8333333333
Dat-4I GPT,1,100%,1,100%,1,98%,1,92%,1,48%,1,98%,Dat-4I GPT,0,0,0.0004,0.0064,0.2704,0.0004,0.046267,1
Par-4I GPT,1,100%,1,100%,1,96%,1,92%,1,73%,1,96%,Par-4I GPT,0,0,0.0016,0.0064,0.0729,0.0016,0.013750,1
Vis-4I Gemini,0,70%,1,100%,1,95%,1,100%,1,95%,1,100%,Vis-4I Gemini,0.49,0,0.0025,0,0.0025,0,0.082500,0.8333333333
Dat-4I Gemini,1,100%,1,100%,1,100%,1,100%,1,85%,1,100%,Dat-4I Gemini,0,0,0,0,0.0225,0,0.003750,1
Par-4I Gemini,1,100%,1,100%,1,100%,1,100%,1,100%,1,100%,Par-4I Gemini,0,0,0,0,0,0,0.000000,1
Vis-4J Claude,1,55%,1,85%,1,82%,1,98%,0,62%,1,98%,Vis-4J Claude,0.2025,0.0225,0.0324,0.0004,0.3844,0.0004,0.107100,0.8333333333
Dat-4J Claude,1,99%,1,99%,1,82%,1,99%,1,72%,1,97%,Dat-4J Claude,0.0001,0.0001,0.0324,0.0001,0.0784,0.0009,0.018667,1
Par-4J Claude,1,99%,1,99%,1,82%,1,99%,1,52%,1,98%,Par-4J Claude,0.0001,0.0001,0.0324,0.0001,0.2304,0.0004,0.043917,1
Vis-4J GPT,1,91%,1,82%,1,95%,1,98%,1,88%,1,97%,Vis-4J GPT,0.0081,0.0324,0.0025,0.0004,0.0144,0.0009,0.009783,1
Dat-4J GPT,1,100%,1,100%,1,96%,1,99%,1,86%,1,98%,Dat-4J GPT,0,0,0.0016,0.0001,0.0196,0.0004,0.003617,1
Par-4J GPT,1,100%,1,100%,1,97%,1,99%,1,89%,1,99%,Par-4J GPT,0,0,0.0009,0.0001,0.0121,0.0001,0.002200,1
Vis-4J Gemini,0,95%,1,100%,0,100%,1,100%,0,95%,1,100%,Vis-4J Gemini,0.9025,0,1,0,0.9025,0,0.467500,0.5
Dat-4J Gemini,1,100%,1,100%,1,100%,1,100%,1,95%,1,100%,Dat-4J Gemini,0,0,0,0,0.0025,0,0.000417,1
Par-4J Gemini,1,100%,1,100%,1,100%,1,100%,1,95%,1,100%,Par-4J Gemini,0,0,0,0,0.0025,0,0.000417,1
